time,open,high,low,close,Plot,Plot,Plot,Plot
2023-10-09,44.842,45.605,44.368,45.273,NaN,NaN,NaN,NaN
2023-10-10,45.31,46.259,45.088,45.798,NaN,NaN,NaN,NaN
2023-10-11,46.196,46.859,46.05,46.806,NaN,NaN,NaN,NaN
2023-10-12,46.777,47.609,46.33,46.945,NaN,NaN,NaN,NaN
2023-10-13,46.96,47.116,45.28,45.461,NaN,NaN,NaN,NaN
2023-10-16,45.063,46.225,44.912,46.095,NaN,NaN,NaN,NaN
2023-10-17,44,44.754,42.48,43.938,NaN,NaN,NaN,NaN
2023-10-18,42.591,43.219,41.825,42.196,NaN,NaN,NaN,NaN
2023-10-19,42.811,43.297,41.882,42.101,NaN,NaN,NaN,NaN
2023-10-20,41.89,42.47,41.078,41.387,NaN,NaN,NaN,NaN
2023-10-23,41.229,43.24799,40.945,42.975,NaN,NaN,NaN,NaN
2023-10-24,43.077,43.697,42.691,43.663,NaN,NaN,NaN,NaN
2023-10-25,43.398,43.65,41.555,41.779,NaN,NaN,NaN,NaN
2023-10-26,41.853,42.25555,39.88019,40.326,NaN,NaN,NaN,NaN
2023-10-27,41.13,41.206,40.015,40.5,NaN,NaN,NaN,NaN
2023-10-30,41.087,41.766,40.481,41.161,NaN,NaN,NaN,NaN
2023-10-31,40.45,40.879,39.23001,40.78,NaN,NaN,NaN,NaN
2023-11-01,40.884,42.381,40.869,42.325,NaN,NaN,NaN,NaN
2023-11-02,43.328,43.884,42.894,43.506,NaN,NaN,NaN,NaN
2023-11-03,44.02,45.30899,43.723,45.005,NaN,NaN,NaN,NaN
2023-11-06,45.2845,45.935,44.899,45.751,NaN,NaN,NaN,NaN
2023-11-07,45.719,46.218,45.1575,45.955,NaN,NaN,NaN,NaN
2023-11-08,46.1,46.867,45.968,46.574,NaN,NaN,NaN,NaN
2023-11-09,47.467,48.23,46.75,46.95,NaN,NaN,NaN,NaN
2023-11-10,47.5,48.472,47.28301,48.335,NaN,NaN,NaN,NaN
2023-11-13,48.32,49.116,48.09901,48.62,NaN,NaN,NaN,NaN
2023-11-14,49.68,49.834,49.04001,49.656,NaN,NaN,NaN,NaN
2023-11-15,49.935,49.96,48.2,48.888,NaN,NaN,NaN,NaN
2023-11-16,48.679,49.52469,48.33,49.48,NaN,NaN,NaN,NaN
2023-11-17,49.524,49.717,49.007,49.298,NaN,NaN,NaN,NaN
2023-11-20,49.312,50.548,49.18101,50.409,NaN,NaN,NaN,NaN
2023-11-21,50.126,50.517,49.222,49.944,NaN,NaN,NaN,NaN
2023-11-22,49.852,50.33494,47.69,48.716,NaN,NaN,NaN,NaN
2023-11-24,48.47001,48.921,47.745,47.776,NaN,NaN,NaN,NaN
