university,coord,inception,universityLabel,countryLabel
http://www.wikidata.org/entity/Q7842,Point(139.76232 35.71339),1877-04-12T00:00:00Z,University of Tokyo,Japan
http://www.wikidata.org/entity/Q12432,Point(-88.55 47.12),1885-01-01T00:00:00Z,Michigan Technological University,United States
http://www.wikidata.org/entity/Q15142,Point(-72.527777777 42.388888888),1863-01-01T00:00:00Z,University of Massachusetts Amherst,United States
http://www.wikidata.org/entity/Q15144,Point(-71.038445 42.313432),1964-01-01T00:00:00Z,University of Massachusetts Boston,United States
http://www.wikidata.org/entity/Q15570,Point(114.206791666 22.419722222),1963-01-01T00:00:00Z,The Chinese University of Hong Kong,People's Republic of China
http://www.wikidata.org/entity/Q16947,Point(121.506631944 31.2827),1907-01-01T00:00:00Z,Tongji University,People's Republic of China
http://www.wikidata.org/entity/Q16955,Point(116.326666666 40.0),1911-03-30T00:00:00Z,Tsinghua University,People's Republic of China
http://www.wikidata.org/entity/Q23101,Point(116.308333333 39.957777777),1940-01-01T00:00:00Z,Beijing Institute of Technology,People's Republic of China
http://www.wikidata.org/entity/Q23102,Point(126.675 45.77222222),1953-01-01T00:00:00Z,Harbin Engineering University,People's Republic of China
http://www.wikidata.org/entity/Q23110,Point(118.813808333 32.036005555),1952-01-01T00:00:00Z,Nanjing University of Aeronautics and Astronautics,People's Republic of China
http://www.wikidata.org/entity/Q23966,Point(38.01805557 48.30416668),1930-01-01T00:00:00Z,Kharkiv Petro Vasylenko National Technical University of Agriculture,Ukraine
http://www.wikidata.org/entity/Q23977,Point(36.194583333 50.041805555),1967-01-01T00:00:00Z,Kharkiv State University of Food Technology and Trade,Ukraine
http://www.wikidata.org/entity/Q23985,Point(26.96239 49.40725),1962-01-01T00:00:00Z,Khmelnytskyi National University,Ukraine
http://www.wikidata.org/entity/Q24144,Point(38.01805557 48.30416668),1923-11-11T00:00:00Z,Kharkiv Medical Academy of Post-graduate Education,Ukraine
http://www.wikidata.org/entity/Q24399,Point(-72.730555555 41.781111111),1932-01-01T00:00:00Z,University of Saint Joseph,United States
http://www.wikidata.org/entity/Q24420,,1935-01-01T00:00:00Z,Kharkiv College of Textile and Design,Ukraine
http://www.wikidata.org/entity/Q27265,Point(13.048055555 47.797222222),1622-01-01T00:00:00Z,University of Salzburg,Austria
http://www.wikidata.org/entity/Q27265,Point(13.048055555 47.797222222),1962-01-01T00:00:00Z,University of Salzburg,Austria
http://www.wikidata.org/entity/Q29131,Point(128.2222506 -3.6817192),1982-08-29T00:00:00Z,IAIN Ambon,Indonesia
http://www.wikidata.org/entity/Q29716,Point(-100.310278 25.727222),1933-01-01T00:00:00Z,Universidad Autónoma Nuevo León,Mexico
http://www.wikidata.org/entity/Q29718,Point(-0.06888889 39.99444444),1991-01-01T00:00:00Z,Jaume I University,Spain
http://www.wikidata.org/entity/Q29731,Point(-70.604917 -33.421251),1988-05-13T00:00:00Z,Universidad Mayor,Chile
http://www.wikidata.org/entity/Q31249,Point(-96.580833333 39.191666666),1863-01-01T00:00:00Z,Kansas State University,United States
http://www.wikidata.org/entity/Q31519,Point(14.4037 50.0884),1348-04-15T00:00:00Z,Charles University,Czech Republic
http://www.wikidata.org/entity/Q31867,Point(-84.1115 9.999),1973-01-01T00:00:00Z,"National University, Costa Rica",Costa Rica
http://www.wikidata.org/entity/Q32287,Point(-72.7687 41.6881),1973-01-01T00:00:00Z,Charter Oak State College,United States
http://www.wikidata.org/entity/Q32393,Point(71.674398457 41.002275336),1942-01-01T00:00:00Z,Namangan State University,Uzbekistan
http://www.wikidata.org/entity/Q37548,Point(-71.088333333 42.34),1898-01-01T00:00:00Z,Northeastern University,United States
http://www.wikidata.org/entity/Q37765,Point(44.376 33.278),1987-01-01T00:00:00Z,Nahrain University,Iraq
http://www.wikidata.org/entity/Q39920,Point(125.768333333 39.058055555),1946-10-01T00:00:00Z,Kim Il-sung University,North Korea
http://www.wikidata.org/entity/Q39944,Point(125.76777778 39.06527778),1949-01-01T00:00:00Z,Pyongyang University of Foreign Studies,North Korea
http://www.wikidata.org/entity/Q40000,Point(125.746389 39.002778),1948-01-01T00:00:00Z,Kim Chaek University of Technology,North Korea
http://www.wikidata.org/entity/Q40000,Point(125.746389 39.002778),1951-01-01T00:00:00Z,Kim Chaek University of Technology,North Korea
http://www.wikidata.org/entity/Q42238,Point(46.993868 35.278433),1991-01-01T00:00:00Z,University of Kurdistan,Iran
http://www.wikidata.org/entity/Q43337,Point(124.648518 8.47663),1933-06-07T00:00:00Z,Xavier University – Ateneo de Cagayan,Philippines
http://www.wikidata.org/entity/Q43402,Point(120.430151 23.703108),1980-01-01T00:00:00Z,National Formosa University,Taiwan
http://www.wikidata.org/entity/Q43658,Point(24.0313 49.8255),1816-01-01T00:00:00Z,Lviv University of Trade and Economics,Ukraine
